Cut Name,TTTo2L2Nu,TTToSemiLeptonic,TTWJetsToLNu,TTZToLLNuNu,ttHJetToNonbb,ttHJetTobb,WJetsToLNuHT0To70,WJetsToLNuHT70To100,WJetsToLNuHT100To200,WJetsToLNuHT200To400,WJetsToLNuHT400To600,WJetsToLNuHT600To800,WJetsToLNuHT800To1200,WJetsToLNuHT1200To2500,WJetsToLNuHT2500ToInf,ALLTOP,WJetsToLNu,Signal,VBSWZH,OSVBSWWH,SSVBSWWH,
Num control,197.51,1663,12.593,2.7647,5.9463,10.129,191.18,0,0,0,0,4.8315,22.876,38.883,1.2911,1892,67.882,80.101,17.056,34.196,28.849,
Num SameWZ,195.26,1646,12.48,2.7385,5.8531,9.9629,191.18,0,0,0,0,4.8315,22.876,38.378,1.2532,1872.3,67.338,80.008,17.014,34.165,28.829,
Num passW,9.0241,110.89,2.4279,0.49694,0.96193,1.7588,0,0,0,0,0,0.82075,1.8511,1.907,0.049305,125.56,4.6281,61.343,9.988,27.772,23.583,
Num failWpassZ,6.0634,47.558,0.66363,0.11362,0.36393,0.66113,74.968,0,0,0,0,0,0.547,1.1197,0.018347,55.423,1.685,4.0824,3.4544,0.35989,0.26813,
Num failZpassW,4.1247,46.799,0.8079,0.16276,0.33368,0.55591,0,0,0,0,0,0.5556,0.56295,0.90871,0.020046,52.784,2.0473,11.556,0.90763,5.8067,4.8412,
Num pe,31.392,271.65,1.3348,0.52854,1.0387,1.5506,34.065,0,0,0,0,0.90836,2.7089,4.4067,0.1221,307.5,8.1461,8.952,1.7574,5.8827,1.3119,
Num me,30.649,263.93,2.5117,0.51527,0.79661,1.4641,34.124,0,0,0,0,0.91559,4.0669,7.8784,0.27389,299.87,13.135,18.246,4.0224,5.8518,8.3722,
Num pm,66.501,570.51,2.8436,0.83577,2.1385,3.6696,41.26,0,0,0,0,1.0288,6.2212,9.8437,0.26457,646.5,17.358,17.458,3.4781,11.364,2.6156,
Num mm,68.973,556.95,5.903,0.88515,1.9724,3.4451,81.731,0,0,0,0,1.9787,9.8788,16.754,0.63059,638.13,29.243,35.444,7.7982,11.097,16.55,
Err raw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err total,11.35,51.404,1.1712,0.43395,1.1387,0.66732,1005.6,1.2295,2.6567,4.6461,47.132,37.528,23.796,9.0005,0.41488,52.674,65.631,0.63299,0.25529,0.46104,0.35064,
Err leptonptcut,10.802,48.894,1.1148,0.40944,1.0861,0.63627,953.71,1.227,2.6804,4.4086,44.738,35.654,22.674,8.5708,0.39541,50.103,62.358,0.60613,0.24443,0.44131,0.33601,
Err fatbtag_t,5.5959,20.508,0.53214,0.19838,0.48154,0.48028,115.8,0,0,0.29739,4.2868,4.3565,2.7783,1.0233,0.042166,21.276,6.7979,0.43491,0.18028,0.31408,0.24084,
Err Wjet,5.5959,20.508,0.53214,0.19838,0.48154,0.48028,115.8,0,0,0.29739,4.2868,4.3565,2.7783,1.0233,0.042166,21.276,6.7979,0.43491,0.18028,0.31408,0.24084,
Err vbsjet,4.286,16.578,0.39453,0.15646,0.41748,0.42063,85.832,0,0,0,1.2612,2.0701,1.7246,0.75351,0.032935,17.138,3.069,0.37288,0.15597,0.27026,0.20413,
Err Mjj,4.286,16.578,0.39453,0.15646,0.41748,0.42063,85.832,0,0,0,1.2612,2.0701,1.7246,0.75351,0.032935,17.138,3.069,0.37288,0.15597,0.27026,0.20413,
Err detajj,4.286,16.578,0.39453,0.15646,0.41748,0.42063,85.832,0,0,0,1.2612,2.0701,1.7246,0.75351,0.032935,17.138,3.069,0.37288,0.15597,0.27026,0.20413,
Err detatest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err ST,2.8986,9.5198,0.26963,0.099623,0.25344,0.28748,85.832,0,0,0,0,0.70782,1.1106,0.68961,0.032658,9.9628,1.487,0.3628,0.15139,0.26186,0.20034,
Err control,2.8986,9.5198,0.26963,0.099623,0.25344,0.28748,85.832,0,0,0,0,0.70782,1.1106,0.68961,0.032658,9.9628,1.487,0.3628,0.15139,0.26186,0.20034,
Err SameWZ,2.8823,9.4708,0.26787,0.099361,0.25209,0.28547,85.832,0,0,0,0,0.70782,1.1106,0.68506,0.032181,9.9111,1.4849,0.3626,0.15121,0.26174,0.20026,
Err passW,0.59916,2.4446,0.1187,0.041873,0.10347,0.11985,0,0,0,0,0,0.26051,0.32164,0.15078,0.0063637,2.5251,0.44056,0.31865,0.11567,0.23545,0.18091,
Err failWpassZ,2.4624,6.8962,0.81463,0.33708,0.60326,0.8131,8.6584,0,0,0,0,0,0.7396,1.0582,0.13545,7.4447,1.2981,2.0205,1.8586,0.59991,0.51781,
Err failZpassW,2.0309,6.8409,0.89883,0.40343,0.57765,0.74559,0,0,0,0,0,0.74538,0.7503,0.95326,0.14158,7.2652,1.4308,3.3993,0.9527,2.4097,2.2003,
Err pe,1.0934,3.6445,0.083928,0.044025,0.097122,0.10778,34.065,0,0,0,0,0.33816,0.35676,0.21989,0.0094713,3.809,0.53858,0.12054,0.046225,0.10358,0.040786,
Err me,1.0772,3.5998,0.11516,0.041234,0.094593,0.10881,34.124,0,0,0,0,0.28595,0.44515,0.29344,0.014124,3.7623,0.60517,0.16212,0.07002,0.10379,0.10299,
Err pm,1.7296,5.7025,0.13093,0.05722,0.15081,0.17383,41.26,0,0,0,0,0.32172,0.59786,0.3575,0.015246,5.9652,0.76745,0.18022,0.070081,0.15435,0.061192,
Err mm,1.7476,5.6451,0.18775,0.054884,0.15202,0.1702,57.793,0,0,0,0,0.44876,0.74207,0.46185,0.023343,5.917,0.9828,0.24152,0.10473,0.15246,0.15531,
