Cut Name,TTTo2L2Nu,TTToSemiLeptonic,TTWJetsToLNu,TTZToLLNuNu,ttHJetToNonbb,ttHJetTobb,WJetsToLNuHT0To70,WJetsToLNuHT70To100,WJetsToLNuHT100To200,WJetsToLNuHT200To400,WJetsToLNuHT400To600,WJetsToLNuHT600To800,WJetsToLNuHT800To1200,WJetsToLNuHT1200To2500,WJetsToLNuHT2500ToInf,ALLTOP,WJetsToLNu,Signal,VBSWZH,OSVBSWWH,SSVBSWWH,
Num raw,69327,8.7448e+05,1.0599e+05,27711,42464,29292,799,1,2,117,11137,1.3039e+05,1.9306e+05,5.1552e+05,2.3577e+05,1.1493e+06,1.086e+06,1.5227e+05,36665,52689,62916,
Num total,2829.8,45618,261.51,49.277,127.51,62.951,28054,1.2295,3.5722,47.327,4719.2,12918,9904.6,6229.5,198.77,48949,34022,231.04,46.501,100.65,83.89,
Num leptonptcut,2687.8,43309,248.38,46.428,121.14,59.883,26481,1.227,3.5939,44.708,4462.4,12231,9423.5,5915.9,189.04,46472,32271,221.07,44.477,96.258,80.339,
Num fatbtag_t,725.82,7681.9,59.614,11.273,24.03,32.843,378.15,0,0,0.29739,39.987,180.87,141.7,85.241,2.1596,8535.5,450.25,114.48,24.159,49.004,41.313,
Num Wjet,725.82,7681.9,59.614,11.273,24.03,32.843,378.15,0,0,0.29739,39.987,180.87,141.7,85.241,2.1596,8535.5,450.25,114.48,24.159,49.004,41.313,
Num vbsjet,428.89,5035.2,27.663,6.4914,16.819,22.557,191.18,0,0,0,3.5862,41.397,54.808,46.433,1.3138,5537.6,147.54,84.589,18.139,36.468,29.983,
Num Mjj,428.89,5035.2,27.663,6.4914,16.819,22.557,191.18,0,0,0,3.5862,41.397,54.808,46.433,1.3138,5537.6,147.54,84.589,18.139,36.468,29.983,
Num detajj,428.89,5035.2,27.663,6.4914,16.819,22.557,191.18,0,0,0,3.5862,41.397,54.808,46.433,1.3138,5537.6,147.54,84.589,18.139,36.468,29.983,
Num detatest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Num ST,197.51,1663,12.593,2.7647,5.9463,10.129,191.18,0,0,0,0,4.8315,22.876,38.883,1.2911,1892,67.882,80.101,17.056,34.196,28.849,
