Cut Name,OSVBSWWH2016,OSVBSWWH2017,OSVBSWWH2018,SSVBSWWH2016,SSVBSWWH2017,SSVBSWWH2018,TTTo2L2Nu2016,TTTo2L2Nu2017,TTTo2L2Nu2018,TTToSemiLeptonic2016,TTToSemiLeptonic2017,TTToSemiLeptonic2018,TTWJetsToLNu2016,TTWJetsToLNu2017,TTWJetsToLNu2018,TTZToLLNuNu2016,TTZToLLNuNu2017,TTZToLLNuNu2018,TTbb_4f_TTTo2L2Nu2016,TTbb_4f_TTTo2L2Nu2017,TTbb_4f_TTTo2L2Nu2018,TTbb_4f_TTToSemiLeptonic2016,TTbb_4f_TTToSemiLeptonic2017,TTbb_4f_TTToSemiLeptonic2018,VBSWZH2016,VBSWZH2017,VBSWZH2018,WJetsToLNu2016HT0To70,WJetsToLNu2016HT100To200,WJetsToLNu2016HT1200To2500,WJetsToLNu2016HT200To400,WJetsToLNu2016HT2500ToInf,WJetsToLNu2016HT400To600,WJetsToLNu2016HT600To800,WJetsToLNu2016HT70To100,WJetsToLNu2016HT800To1200,WJetsToLNu2017HT0To70,WJetsToLNu2017HT100To200,WJetsToLNu2017HT1200To2500,WJetsToLNu2017HT200To400,WJetsToLNu2017HT2500ToInf,WJetsToLNu2017HT400To600,WJetsToLNu2017HT600To800,WJetsToLNu2017HT70To100,WJetsToLNu2018HT0To70,WJetsToLNu2018HT1200To2500,WJetsToLNu2018HT200To400,WJetsToLNu2018HT2500ToInf,WJetsToLNu2018HT400To600,WJetsToLNu2018HT600To800,WJetsToLNu2018HT70To100,WJetsToLNu2018HT800To1200,ttHJetToNonbb2016,ttHJetToNonbb2017,ttHJetToNonbb2018,ttHJetTobb2016,ttHJetTobb2017,ttHJetTobb2018,
Num raw,7822,18049,26818,9897,18578,34441,10162,26051,33114,1.3031e+05,3.2501e+05,4.1917e+05,16617,37051,52323,4253,10085,13373,966,2275,2807,6996,16253,21837,5490,12449,18726,390,1,79998,13,41091,1569,18779,0,44062,425,1,1.8504e+05,45,69893,4469,48628,1,374,2.5048e+05,59,1.2478e+05,5099,62981,0,1.49e+05,7133,21475,13856,6279,11312,11701,
Num total,26.544,30.745,43.361,22.319,25.238,36.334,737.46,892.35,1200,11906,14366,19347,67.678,81.206,112.62,13.033,15.325,20.919,1.001,1.2341,1.5861,54.782,64.813,88.314,12.331,14.075,20.095,9678.8,2.3681,1587.3,10.563,44.958,1209.8,3294.8,0,3666.1,12639,1.2041,1913,15.489,63.179,1580.6,4060,1.2295,15416,2729.2,21.275,90.631,1928.8,5562.7,0,6238.4,33.923,38.616,54.975,16.767,19.066,27.119,
Num leptonptcut,25.251,29.282,41.724,21.262,24.063,35.014,698.03,842.31,1147.5,11256,13558,18494,64.19,76.549,107.65,12.219,14.326,19.883,0.94513,1.1671,1.5151,51.846,61.251,84.472,11.737,13.405,19.334,9145.9,2.3996,1506.1,10.029,42.704,1147,3123.8,0,3473.7,11794,1.1944,1803.7,14.448,59.669,1481.2,3810.6,1.227,14687,2606.1,20.231,86.671,1834.2,5296.4,0,5949.8,32.132,36.475,52.531,15.889,18.031,25.963,
Num fatbtag_t,12.603,15.108,21.294,10.862,12.523,17.928,181.19,230.43,314.21,1934.7,2442,3305.2,14.791,18.871,25.953,2.908,3.572,4.7927,0.27843,0.37771,0.48628,11.236,13.999,19.773,6.4336,7.29,10.435,109.33,0,20.477,0,0.44973,10.574,48.642,0,51.667,109.24,0,27.382,0,0.69683,11.098,57.619,0,268.91,37.383,0.29739,1.0131,18.314,74.604,0,90.035,5.9182,7.5832,10.528,8.646,9.9374,14.259,
Num Wjet,12.603,15.108,21.294,10.862,12.523,17.928,181.19,230.43,314.21,1934.7,2442,3305.2,14.791,18.871,25.953,2.908,3.572,4.7927,0.27843,0.37771,0.48628,11.236,13.999,19.773,6.4336,7.29,10.435,109.33,0,20.477,0,0.44973,10.574,48.642,0,51.667,109.24,0,27.382,0,0.69683,11.098,57.619,0,268.91,37.383,0.29739,1.0131,18.314,74.604,0,90.035,5.9182,7.5832,10.528,8.646,9.9374,14.259,
Num vbsjet,9.1662,11.265,16.037,7.4745,9.2384,13.27,103.79,136.14,188.97,1255.4,1612.6,2167.2,6.9691,8.7143,11.98,1.723,2.0249,2.7435,0.19572,0.26032,0.33179,8.0984,10.221,14.326,4.7615,5.4931,7.8842,62.782,0,10.816,0,0.28684,0.77181,10.624,0,19.645,0,0,15.224,0,0.41166,1.355,13.72,0,191.18,20.392,0,0.61528,1.4594,17.052,0,35.163,4.0255,5.4955,7.2981,5.7515,6.7833,10.022,
Num Mjj,9.1662,11.265,16.037,7.4745,9.2384,13.27,103.79,136.14,188.97,1255.4,1612.6,2167.2,6.9691,8.7143,11.98,1.723,2.0249,2.7435,0.19572,0.26032,0.33179,8.0984,10.221,14.326,4.7615,5.4931,7.8842,62.782,0,10.816,0,0.28684,0.77181,10.624,0,19.645,0,0,15.224,0,0.41166,1.355,13.72,0,191.18,20.392,0,0.61528,1.4594,17.052,0,35.163,4.0255,5.4955,7.2981,5.7515,6.7833,10.022,
Num detajj,9.1662,11.265,16.037,7.4745,9.2384,13.27,103.79,136.14,188.97,1255.4,1612.6,2167.2,6.9691,8.7143,11.98,1.723,2.0249,2.7435,0.19572,0.26032,0.33179,8.0984,10.221,14.326,4.7615,5.4931,7.8842,62.782,0,10.816,0,0.28684,0.77181,10.624,0,19.645,0,0,15.224,0,0.41166,1.355,13.72,0,191.18,20.392,0,0.61528,1.4594,17.052,0,35.163,4.0255,5.4955,7.2981,5.7515,6.7833,10.022,
Num detatest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Num ST,8.6268,10.585,14.984,7.2194,8.8808,12.749,45.459,63.546,88.509,403.52,537.08,722.45,3.2957,3.8053,5.4921,0.72235,0.87781,1.1646,0.08209,0.11527,0.15191,2.7397,3.762,4.9468,4.507,5.1964,7.3527,41.73,0,9.0664,0,0.28465,0,1.283,0,7.8722,0,0,12.93,0,0.40075,0,1.7719,0,191.18,16.887,0,0.60575,0,1.7767,0,15.004,1.2801,2.0412,2.625,2.6707,3.1657,4.293,
