Cut Name,OSVBSWWH2016,OSVBSWWH2017,OSVBSWWH2018,SSVBSWWH2016,SSVBSWWH2017,SSVBSWWH2018,TTTo2L2Nu2016,TTTo2L2Nu2017,TTTo2L2Nu2018,TTToSemiLeptonic2016,TTToSemiLeptonic2017,TTToSemiLeptonic2018,TTWJetsToLNu2016,TTWJetsToLNu2017,TTWJetsToLNu2018,TTZToLLNuNu2016,TTZToLLNuNu2017,TTZToLLNuNu2018,TTbb_4f_TTTo2L2Nu2016,TTbb_4f_TTTo2L2Nu2017,TTbb_4f_TTTo2L2Nu2018,TTbb_4f_TTToSemiLeptonic2016,TTbb_4f_TTToSemiLeptonic2017,TTbb_4f_TTToSemiLeptonic2018,VBSWZH2016,VBSWZH2017,VBSWZH2018,WJetsToLNu2016HT0To70,WJetsToLNu2016HT100To200,WJetsToLNu2016HT1200To2500,WJetsToLNu2016HT200To400,WJetsToLNu2016HT2500ToInf,WJetsToLNu2016HT400To600,WJetsToLNu2016HT600To800,WJetsToLNu2016HT70To100,WJetsToLNu2016HT800To1200,WJetsToLNu2017HT0To70,WJetsToLNu2017HT100To200,WJetsToLNu2017HT1200To2500,WJetsToLNu2017HT200To400,WJetsToLNu2017HT2500ToInf,WJetsToLNu2017HT400To600,WJetsToLNu2017HT600To800,WJetsToLNu2017HT70To100,WJetsToLNu2018HT0To70,WJetsToLNu2018HT1200To2500,WJetsToLNu2018HT200To400,WJetsToLNu2018HT2500ToInf,WJetsToLNu2018HT400To600,WJetsToLNu2018HT600To800,WJetsToLNu2018HT70To100,WJetsToLNu2018HT800To1200,ttHJetToNonbb2016,ttHJetToNonbb2017,ttHJetToNonbb2018,ttHJetTobb2016,ttHJetTobb2017,ttHJetTobb2018,
Num control,8.6268,10.585,14.984,7.2194,8.8808,12.749,45.459,63.546,88.509,403.52,537.08,722.45,3.2957,3.8053,5.4921,0.72235,0.87781,1.1646,0.08209,0.11527,0.15191,2.7397,3.762,4.9468,4.507,5.1964,7.3527,41.73,0,9.0664,0,0.28465,0,1.283,0,7.8722,0,0,12.93,0,0.40075,0,1.7719,0,191.18,16.887,0,0.60575,0,1.7767,0,15.004,1.2801,2.0412,2.625,2.6707,3.1657,4.293,
Num SameWZ,8.6172,10.576,14.972,7.213,8.8755,12.74,44.977,62.964,87.315,399.44,530.85,715.73,3.275,3.7496,5.4556,0.71629,0.86804,1.1542,0.080171,0.11266,0.14864,2.6882,3.7238,4.8676,4.4964,5.1815,7.3365,41.73,0,8.9503,0,0.2784,0,1.283,0,7.8722,0,0,12.76,0,0.3842,0,1.7719,0,191.18,16.668,0,0.59055,0,1.7767,0,15.004,1.2531,2.0065,2.5935,2.5827,3.1186,4.2616,
Num passW,6.8525,8.6823,12.237,5.8365,7.2278,10.519,1.3817,2.8209,4.8215,24.649,37.726,48.512,0.55347,0.83104,1.0433,0.13226,0.16683,0.19785,0.0041355,0.0069091,0.0064473,0.26573,0.3727,0.55045,2.6002,3.0487,4.3391,0,0,0.37166,0,0.011376,0,0,0,0.7174,0,0,0.65529,0,0.013056,0,0.39022,0,0,0.88004,0,0.024873,0,0.43053,0,1.1337,0.21445,0.3776,0.36988,0.44521,0.63859,0.67499,
Num failWpassZ,0.11122,0.11533,0.13335,0.091086,0.076021,0.10102,1.161,1.8912,3.0112,10.709,15.739,21.11,0.17122,0.16762,0.32478,0.019642,0.053049,0.04093,0.0020872,0.0099185,0.010737,0.18194,0.19417,0.25141,0.91868,1.0408,1.495,20.03,0,0.27006,0,0.0054501,0,0,0,0.24034,0,0,0.30924,0,0.0027228,0,0,0,74.968,0.54038,0,0.010174,0,0,0,0.30667,0.091263,0.13308,0.13959,0.22583,0.22662,0.20867,
Num failZpassW,1.5275,1.7919,2.4873,1.1703,1.5029,2.1681,0.50704,1.1355,2.4821,9.8015,15.681,21.317,0.23042,0.24523,0.33225,0.044886,0.049108,0.068765,0.0020693,0.0031849,0.0015901,0.0849,0.12336,0.1894,0.22704,0.26318,0.41741,0,0,0.15648,0,0.0051137,0,0,0,0.15294,0,0,0.27865,0,0.0052762,0,0.39022,0,0,0.47357,0,0.0096559,0,0.16538,0,0.41001,0.11235,0.13757,0.083764,0.10604,0.19584,0.25403,
Num pe,1.4247,1.8112,2.6469,0.31961,0.40408,0.58819,7.0287,9.5992,14.764,62.921,87.803,120.93,0.28961,0.40471,0.64052,0.16323,0.14573,0.21957,0.0089535,0.021429,0.026591,0.48415,0.61289,0.87157,0.44162,0.50178,0.814,20.03,0,0.97237,0,0.024196,0,0.60266,0,0.78393,0,0,1.5411,0,0.034502,0,0.1437,0,34.065,1.8932,0,0.0634,0,0.16201,0,1.925,0.17193,0.29521,0.57159,0.39793,0.41264,0.74004,
Num me,1.4912,1.7825,2.5781,2.0324,2.541,3.7989,6.4633,9.8895,14.296,61.272,85.6,117.06,0.63852,0.80659,1.0666,0.14244,0.17541,0.19742,0.012079,0.014857,0.030734,0.46457,0.52584,0.80409,1.0164,1.1959,1.8101,21.7,0,1.7244,0,0.04805,0,0.15341,0,1.4164,0,0,2.46,0,0.081044,0,0.29152,0,34.124,3.694,0,0.14479,0,0.47066,0,2.6505,0.06793,0.32277,0.40591,0.36775,0.49079,0.6056,
Num pm,2.8942,3.5472,4.9228,0.61869,0.79845,1.1984,16.675,20.933,28.893,141.32,185.77,243.42,0.73701,0.84949,1.2571,0.18702,0.30332,0.34544,0.02898,0.049777,0.042766,0.93025,1.3558,1.6557,0.95081,1.1191,1.4081,0,0,2.5209,0,0.071206,0,0.17457,0,2.3387,0,0,3.2747,0,0.081252,0,0.50096,0,41.26,4.048,0,0.11211,0,0.35329,0,3.8826,0.54582,0.67212,0.92059,0.95533,1.1467,1.5675,
Num mm,2.8167,3.4436,4.8364,4.2488,5.1373,7.1636,15.292,23.124,30.556,138.01,177.91,241.04,1.6306,1.7445,2.528,0.22966,0.25335,0.40213,0.032077,0.029211,0.051821,0.86075,1.2674,1.6154,2.0982,2.3796,3.3205,0,0,3.8487,0,0.1412,0,0.35232,0,3.3332,0,0,5.6537,0,0.20395,0,0.83574,0,81.731,7.252,0,0.28545,0,0.79068,0,6.5457,0.49443,0.7511,0.72689,0.94972,1.1155,1.3798,
Err raw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err total,0.30013,0.22885,0.26478,0.22435,0.18516,0.19578,7.3529,5.5549,6.6254,33.151,25.329,30.031,0.73406,0.59411,0.69269,0.27676,0.21604,0.25504,0.032703,0.026392,0.030528,0.67487,0.52136,0.61245,0.16642,0.12615,0.14685,490.11,2.3681,5.612,2.9298,0.22178,30.542,24.043,0,17.465,613.07,1.2041,4.4471,2.3089,0.23897,23.644,18.411,1.2295,797.13,5.4532,2.7698,0.25657,27.011,22.166,0,16.161,0.72077,0.2753,0.83752,0.37507,0.32447,0.44649,
Err leptonptcut,0.28624,0.21848,0.25512,0.21425,0.17694,0.18891,6.9813,5.2602,6.3462,31.443,23.981,28.756,0.69821,0.56202,0.66281,0.26019,0.20275,0.24257,0.030987,0.025032,0.029208,0.64086,0.49422,0.58672,0.15882,0.12043,0.14148,464.55,2.3996,5.3414,2.7909,0.2113,29.045,22.869,0,16.601,575.01,1.1944,4.2082,2.1633,0.22646,22.248,17.349,1.227,760.88,5.2173,2.6395,0.2458,25.747,21.148,0,15.444,0.68361,0.26084,0.80261,0.35608,0.30764,0.42825,
Err fatbtag_t,0.20207,0.15688,0.18222,0.15308,0.12768,0.13515,3.5645,2.7535,3.3207,13.025,10.167,12.148,0.32788,0.27156,0.31926,0.12508,0.099918,0.11716,0.016832,0.01419,0.016754,0.30188,0.23717,0.28437,0.11753,0.08884,0.1039,49.037,0,0.62263,0,0.021726,2.8304,2.8513,0,2.0278,54.863,0,0.51888,0,0.024505,1.9393,2.1391,0,101.98,0.62473,0.29739,0.026561,2.5699,2.5046,0,1.8993,0.2986,0.11965,0.35834,0.26558,0.23334,0.3251,
Err Wjet,0.20207,0.15688,0.18222,0.15308,0.12768,0.13515,3.5645,2.7535,3.3207,13.025,10.167,12.148,0.32788,0.27156,0.31926,0.12508,0.099918,0.11716,0.016832,0.01419,0.016754,0.30188,0.23717,0.28437,0.11753,0.08884,0.1039,49.037,0,0.62263,0,0.021726,2.8304,2.8513,0,2.0278,54.863,0,0.51888,0,0.024505,1.9393,2.1391,0,101.98,0.62473,0.29739,0.026561,2.5699,2.5046,0,1.8993,0.2986,0.11965,0.35834,0.26558,0.23334,0.3251,
Err vbsjet,0.1723,0.13546,0.15813,0.12696,0.10967,0.11628,2.6922,2.1202,2.5741,10.487,8.2563,9.8325,0.24178,0.2016,0.23781,0.098646,0.078794,0.09241,0.014148,0.011833,0.013697,0.25154,0.20078,0.23977,0.10113,0.077115,0.090284,36.267,0,0.45312,0,0.017377,0.77181,1.3324,0,1.2511,0,0,0.3869,0,0.01885,0.67917,1.0384,0,85.832,0.46127,0,0.020675,0.73047,1.1966,0,1.1871,0.25796,0.10121,0.31226,0.23166,0.20482,0.28515,
Err Mjj,0.1723,0.13546,0.15813,0.12696,0.10967,0.11628,2.6922,2.1202,2.5741,10.487,8.2563,9.8325,0.24178,0.2016,0.23781,0.098646,0.078794,0.09241,0.014148,0.011833,0.013697,0.25154,0.20078,0.23977,0.10113,0.077115,0.090284,36.267,0,0.45312,0,0.017377,0.77181,1.3324,0,1.2511,0,0,0.3869,0,0.01885,0.67917,1.0384,0,85.832,0.46127,0,0.020675,0.73047,1.1966,0,1.1871,0.25796,0.10121,0.31226,0.23166,0.20482,0.28515,
Err detajj,0.1723,0.13546,0.15813,0.12696,0.10967,0.11628,2.6922,2.1202,2.5741,10.487,8.2563,9.8325,0.24178,0.2016,0.23781,0.098646,0.078794,0.09241,0.014148,0.011833,0.013697,0.25154,0.20078,0.23977,0.10113,0.077115,0.090284,36.267,0,0.45312,0,0.017377,0.77181,1.3324,0,1.2511,0,0,0.3869,0,0.01885,0.67917,1.0384,0,85.832,0.46127,0,0.020675,0.73047,1.1966,0,1.1871,0.25796,0.10121,0.31226,0.23166,0.20482,0.28515,
Err detatest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Err ST,0.16716,0.13134,0.15289,0.12481,0.10753,0.11399,1.7865,1.4505,1.7626,5.9561,4.7741,5.6885,0.16466,0.13823,0.16272,0.062934,0.050503,0.058426,0.0092427,0.0080049,0.0093559,0.14695,0.1228,0.14156,0.09841,0.075027,0.087207,29.531,0,0.41496,0,0.017308,0,0.45493,0,0.7934,0,0,0.35668,0,0.018603,0,0.37852,0,85.832,0.41972,0,0.020516,0,0.38829,0,0.77721,0.15568,0.062873,0.18985,0.15815,0.14128,0.19409,
Err control,0.16716,0.13134,0.15289,0.12481,0.10753,0.11399,1.7865,1.4505,1.7626,5.9561,4.7741,5.6885,0.16466,0.13823,0.16272,0.062934,0.050503,0.058426,0.0092427,0.0080049,0.0093559,0.14695,0.1228,0.14156,0.09841,0.075027,0.087207,29.531,0,0.41496,0,0.017308,0,0.45493,0,0.7934,0,0,0.35668,0,0.018603,0,0.37852,0,85.832,0.41972,0,0.020516,0,0.38829,0,0.77721,0.15568,0.062873,0.18985,0.15815,0.14128,0.19409,
Err SameWZ,0.16707,0.13129,0.15283,0.12476,0.1075,0.11396,1.7771,1.4439,1.7506,5.9249,4.7465,5.6623,0.1636,0.13721,0.16174,0.062787,0.050368,0.058253,0.0091418,0.0079184,0.0092601,0.14565,0.12221,0.14037,0.098294,0.074921,0.087112,29.531,0,0.41223,0,0.017118,0,0.45493,0,0.7934,0,0,0.35428,0,0.018227,0,0.37852,0,85.832,0.41696,0,0.020258,0,0.38829,0,0.77721,0.15514,0.062391,0.18865,0.15694,0.14033,0.19279,
Err passW,0.14896,0.11896,0.13818,0.11222,0.097006,0.10355,0.30968,0.30872,0.40962,1.4825,1.2663,1.4747,0.071294,0.062546,0.071377,0.026098,0.021625,0.02459,0.0020678,0.0020636,0.0018631,0.045785,0.038687,0.047526,0.074753,0.057465,0.066996,0,0,0.083372,0,0.0034412,0,0,0,0.23963,0,0,0.080834,0,0.0033781,0,0.17519,0,0,0.096183,0,0.0041525,0,0.19281,0,0.21455,0.063574,0.027071,0.077014,0.064463,0.059847,0.081406,
Err failWpassZ,0.33349,0.3396,0.36517,0.3018,0.27572,0.31784,1.0775,1.3752,1.7353,3.2724,3.9672,4.5946,0.41379,0.40942,0.5699,0.14015,0.23032,0.20231,0.045685,0.099592,0.10362,0.42655,0.44065,0.50141,0.95848,1.0202,1.2227,4.4755,0,0.51968,0,0.073825,0,0,0,0.49024,0,0,0.5561,0,0.05218,0,0,0,8.6584,0.73511,0,0.10087,0,0,0,0.55377,0.3021,0.3648,0.37361,0.47522,0.47605,0.45681,
Err failZpassW,1.2359,1.3386,1.5771,1.0818,1.2259,1.4724,0.71207,1.0656,1.5755,3.1307,3.9599,4.617,0.48002,0.49521,0.57641,0.21186,0.2216,0.26223,0.045489,0.056435,0.039877,0.29137,0.35122,0.4352,0.47649,0.51301,0.64607,0,0,0.39558,0,0.07151,0,0,0,0.39108,0,0,0.52788,0,0.072638,0,0.62467,0,0,0.68817,0,0.098264,0,0.40667,0,0.64032,0.33518,0.37091,0.28942,0.32564,0.44253,0.50401,
Err pe,0.064577,0.051948,0.06213,0.024964,0.021895,0.023685,0.65865,0.53237,0.69166,2.2189,1.8311,2.2374,0.050533,0.042549,0.051767,0.028705,0.021035,0.025918,0.0028324,0.0032342,0.0037219,0.056688,0.046524,0.057467,0.029256,0.022214,0.028061,20.03,0,0.12887,0,0.0047477,0,0.30148,0,0.2365,0,0,0.11632,0,0.0051491,0,0.10168,0,34.065,0.13496,0,0.006376,0,0.11456,0,0.2671,0.057995,0.023178,0.074377,0.058243,0.051957,0.074331,
Err me,0.066114,0.051445,0.061281,0.062974,0.054959,0.060164,0.63102,0.54494,0.68206,2.1915,1.8128,2.2066,0.070463,0.057527,0.070614,0.026068,0.020921,0.024145,0.0034734,0.0027172,0.0040004,0.05721,0.044887,0.055743,0.044416,0.034359,0.041828,21.7,0,0.17082,0,0.0066675,0,0.15341,0,0.31694,0,0,0.14672,0,0.0078837,0,0.14581,0,34.124,0.18815,0,0.0096378,0,0.19229,0,0.31257,0.055682,0.023574,0.072744,0.058399,0.053635,0.07451,
Err pm,0.099155,0.077722,0.089168,0.037377,0.032928,0.035541,1.1043,0.84825,1.026,3.6058,2.8716,3.3572,0.079074,0.067773,0.079361,0.035571,0.029319,0.0339,0.0056699,0.0053008,0.0050946,0.087396,0.074707,0.083436,0.04623,0.035568,0.038847,0,0,0.2237,0,0.0088321,0,0.17457,0,0.44198,0,0,0.18393,0,0.0085649,0,0.20452,0,41.26,0.2096,0,0.0090051,0,0.17665,0,0.40261,0.094442,0.036256,0.11184,0.097447,0.084524,0.11652,
Err mm,0.097829,0.076581,0.088374,0.097939,0.083536,0.086897,1.0677,0.89662,1.0537,3.5703,2.8118,3.3486,0.11551,0.09692,0.11187,0.034523,0.028474,0.031775,0.0057614,0.0042587,0.0056322,0.086423,0.072937,0.081663,0.068692,0.051866,0.059657,0,0,0.27633,0,0.012432,0,0.24913,0,0.52703,0,0,0.24152,0,0.013567,0,0.26429,0,57.793,0.28038,0,0.014363,0,0.26357,0,0.52241,0.094091,0.039314,0.11274,0.093345,0.085086,0.11409,
